Month	Date	Mean station level air pressure (hPa)	Mean sea level air pressure (hPa)	Total rainfall (mm)	Maximum rainfall per hour (mm)	Maximum rainfall per 10 minutes (mm)	Mean air temperature (℃)	Maximum temperature　(℃)	Minimum temperature　(℃)	Mean relative humidity　(%)	Minimum relative humidity (%)	Mean wind speed (m/s)	Maximum wind speed (m/s)	Direction of Maximum wind speed	Maximum instantaneous wind speed (m/s)	Direction of Maximum instantaneous wind speed	Sunshine duration (h)	Total snowfall (cm)	Maximum depth of snow cover (cm)	Meteorological summary 6:00-18:00	Meteorological summary 18:00- next day 6:00	
4	13	1009.5	1013.8	--	--	--	14.3	20.5	7.1	39	20	3.1	5.9	南東	9.3	南	11.9	--	--	快晴	快晴	
4	14	1007.5	1011.8	--	--	--	16.7	22.1	11.1	41	16	2.6	5.7	南南東	9.0	南南東	12.0	--	--	快晴	晴時々薄曇	
4	15	1004.0	1008.3	--	--	--	18.4	22.5	13.7	51	32	5.4	10.1	南	17.9	南南西	8.1	--	--	晴後曇	曇	
4	16	1000.7	1004.9	0.0	0.0	0.0	18.6	24.6	12.9	53	26	4.7	8.4	南	14.0	南南西	6.7	--	--	薄曇時々晴後一時雨	晴時々薄曇	
4	17	1007.8	1012.2	--	--	--	13.6	17.6	9.6	41	27	3.4	6.6	北北西	10.8	北北西	9.3	--	--	晴後薄曇	曇	
4	18	1003.0	1007.3	0.0	0.0	0.0	14.9	17.4	12.5	55	41	2.9	5.5	南南東	9.6	南南東	1.1	--	--	曇	雨時々曇	
4	19	997.2	1001.6	23.0	8.5	2.0	10.8	18.1	7.3	72	48	3.3	8.0	西北西	13.9	北北西	2.9	--	--	曇時々雨一時晴	晴一時雨	
4	20	1007.9	1012.3	0.0	0.0	0.0	10.9	16.7	6.5	53	37	2.6	7.0	南東	11.3	南東	8.1	--	--	晴後時々曇	曇後時々雨	
4	21	1017.2	1021.7	0.0	0.0	0.0	12.4	16.2	8.8	65	52	2.5	5.3	南南東	8.0	南	2.1	--	--	曇一時晴	曇時々雨	
4	22	1014.0	1018.3	0.0	0.0	0.0	15.5	18.8	11.4	64	46	3.1	6.7	南	11.4	南	1.4	--	--	曇後一時雨	曇後雨	
4	23	1003.8	1008.1	54.0	12.5	6.0	16.5	17.9	14.8	81	70	5.7	10.5	南	20.1	南	0.3	--	--	雨	雨後晴	
4	24	999.9	1004.2	0.0	0.5	0.0	16.1	20.0	11.4	47	28	3.8	7.7	南南西	16.5	西北西	11.9	--	--	晴	晴一時雨	
4	25	1004.4	1008.7	0.0	0.0	0.0	15.0	20.1	10.9	48	21	2.5	7.9	南	17.3	西北西	8.3	--	--	晴一時曇	晴後一時薄曇	
4	26	1008.1	1012.4	--	--	--	16.2	21.0	11.3	41	28	3.2	8.2	南西	15.6	南西	9.6	--	--	晴後一時薄曇	薄曇後晴	
4	27	1001.1	1005.4	2.0	1.5	0.5	20.1	24.4	14.9	62	45	7.2	12.5	南南西	21.0	南南西	8.2	--	--	晴後曇	雨時々曇	
4	28	993.5	997.7	4.0	2.5	1.5	19.8	24.8	14.3	49	26	5.1	8.7	南	15.8	南南西	7.8	--	--	晴	晴	
4	29	1007.6	1011.9	0.0	0.0	0.0	15.1	19.1	12.0	48	31	3.0	5.7	南南東	8.9	北	7.6	--	--	晴後一時雨	晴	
4	30	1012.1	1016.4	--	--	--	17.6	22.2	12.3	54	30	4.3	10.2	南南西	20.4	南南西	6.8	--	--	薄曇一時晴	曇後一時雨	
5	1	1002.0	1006.2	2.0	1.5	1.5	18.4	21.1	15.4	64	43	5.6	12.1	南南西	22.2	南	0.5	--	--	曇後時々雨	晴時々曇一時雨	
5	2	1002.4	1006.6	--	--	--	19.6	24.2	14.4	42	21	2.8	7.7	北西	14.0	北西	9.4	--	--	薄曇後一時晴	晴後一時曇	
5	3	1007.8	1012.1	6.0	3.0	1.0	15.8	18.2	13.5	61	38	2.1	3.4	北北西	7.1	北北西	0.1	--	--	曇後雨	雨後時々曇	
5	4	1007.4	1011.7	0.0	0.0	0.0	17.3	21.7	13.3	59	37	3.0	7.0	南南西	11.3	南南西	10.5	--	--	晴後一時薄曇	曇一時晴	
5	5	1013.8	1018.2	0.0	0.0	0.0	15.1	17.2	13.0	59	39	3.2	5.2	北北東	9.5	北東	0.1	--	--	曇	曇	
5	6	1017.2	1021.5	--	--	--	16.0	19.6	12.4	65	52	2.2	4.1	東	8.1	東	1.4	--	--	曇	曇後一時雨	
5	7	1009.4	1013.7	1.0	0.5	0.5	17.0	18.4	15.4	79	70	1.8	4.8	南東	9.4	南東	0.0	--	--	雨時々曇	曇後晴	
5	8	1004.6	1008.9	--	--	--	20.6	25.9	14.5	55	22	2.6	5.8	北北西	11.5	北北西	11.2	--	--	晴	晴後一時曇	
5	9	1009.3	1013.5	--	--	--	19.7	23.8	14.8	45	26	3.4	8.1	南南東	13.5	南	7.9	--	--	薄曇一時晴	曇	
5	10	999.9	1004.1	1.0	0.5	0.5	22.8	27.2	18.4	63	43	2.8	6.6	南	10.6	南南西	0.8	--	--	曇後雨	雨一時曇	
